Property Code,Property Name,Currency code,Location code,Transportation code,AddressLine1,AddressLine2,CityName,State code,Zipcode,Region code,Country code,Phone number,Fax number,Amadeus Check Code
RTOITGMB,GRAND MERCURE BEPPU BAY,JPY,NW,T,1825,"Hiramichi Irie, Hiji Hayami gun",OITA,,879-1508,,JP,(81) 977729800,(81) 977729700,HFRTOITGMB
RTFUKMEM,MERCURE FUKUOKA MUNAKATA,JPY,N,T,1303,"Tano, Munakata shi",FUKUOKA,,811-3514,,JP,(81) 940624111,(81) 940624000,HFRTFUKMEM
RTKCZMER,MERCURE KOCHI TOSA,JPY,SE,T,2995 Ko,"Nishibun, Geiseimura Akigun",KOCHI,,781-5703,,JP,(81) 887334510,(81) 887334512,HFRTKCZMER
RTHSGMER,MERCURE SAGA KARATSU,JPY,E,T,4-9-20,"Higashikaratsu, Karatsu shi",SAGA,,847-0017,,JP,(81) 955720111,(81) 955720120,HFRTHSGMER
RTUKYMKM,MERCURE KYOTO MIYAZU,JPY,NW,T,58,"Koaza Iwamoto, Aza Tai Miyazu shi",KYOTO,,626-0068,,JP,(81) 772251800,(81) 772251377,HFRTUKYMKM
RTTTJMER,MERCURE TOTTORI DAISEN,JPY,E,T,1647-13 Maruyama,"Hoki cho, Saihaku gun",TOTTIRI,,689-4108,,JP,(81) 859682333,(81) 859683233,HFRTTTJMER
RTUKYGMK,GRAND MERCURE NARA KASHIHARA,JPY,N,T,652-2,"Kume cho, Kashihara",NARA,,645-0012,,JP,(81) 744286636,(81) 744286644,HFRTUKYGMK
RTOSAWAK,MERCURE WAKAYAMA KUSHIMOTO,JPY,NE,T,1184-10 Sangodai,"Kushimoto cho, Higashimuro gum",WAKAYAMA,,649-3510,,JP,(81) 735627771,(81) 735627760,HFRTOSAWAK
RTOSAGME,GRAND MERCURE WAKAYAMA MINABE,JPY,N,T,348 Omezudomari Oaza Yamauchi,"Minabe cho, Hidaka gun",WAKAYAMA,,645-0012,,JP,(81) 739725500,(81) 739725757,HFRTOSAGME
RTOKAGMO,GRAND MERCURE OKINAWA ZANPA,JPY,N,T,1575,"Uza, Nakagamigun Yomitanson",OKINAWA,,9040328,,JP,(81) 989585000,(81) 989583970,HFRTOKAGMO
RTTKSGME,GRAND MERCURE AWAJI ISLAND,JPY,N,T,317,"Fukura, Minamiawaji City",HYOGO,,656-0503,,JP,(81) 799523011,(81) 799523770,HFRTTKSGME
